id_dapil,nama_dapil,kategori,url_dapil
67,3210,JAWA BARAT X,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3210
68,3211,JAWA BARAT XI,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3211
69,3301,JAWA TENGAH I,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3301
70,3302,JAWA TENGAH II,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3302
71,3303,JAWA TENGAH III,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3303
72,3304,JAWA TENGAH IV,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3304
73,3305,JAWA TENGAH V,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3305
74,3306,JAWA TENGAH VI,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3306
75,3307,JAWA TENGAH VII,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3307
76,3308,JAWA TENGAH VIII,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3308
77,3309,JAWA TENGAH IX,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3309
78,3310,JAWA TENGAH X,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3310
79,3401,DAERAH ISTIMEWA YOGYAKARTA,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3401
80,3501,JAWA TIMUR I,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3501
81,3502,JAWA TIMUR II,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3502
82,3503,JAWA TIMUR III,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3503
83,3504,JAWA TIMUR IV,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3504
84,3505,JAWA TIMUR V,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3505
85,3506,JAWA TIMUR VI,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3506
86,3507,JAWA TIMUR VII,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3507
87,3508,JAWA TIMUR VIII,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3508
88,3509,JAWA TIMUR IX,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3509
89,3510,JAWA TIMUR X,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3510
90,3511,JAWA TIMUR XI,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3511
91,3601,BANTEN I,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3601
92,3602,BANTEN II,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3602
93,3603,BANTEN III,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/3603
94,5101,BALI ,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/5101
95,5201,NUSA TENGGARA BARAT I,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/5201
96,5202,NUSA TENGGARA BARAT II,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/5202
97,5301,NUSA TENGGARA TIMUR I,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/5301
98,5302,NUSA TENGGARA TIMUR II,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/5302
99,6101,KALIMANTAN BARAT I,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/6101
100,6102,KALIMANTAN BARAT II,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/6102
101,6201,KALIMANTAN TENGAH,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/6201
102,6301,KALIMANTAN SELATAN I,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/6301
103,6302,KALIMANTAN SELATAN II,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/6302
104,6401,KALIMANTAN TIMUR,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/6401
105,6501,KALIMANTAN UTARA,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/6501
106,7101,SULAWESI UTARA,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/7101
107,7201,SULAWESI TENGAH,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/7201
108,7301,SULAWESI SELATAN I,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/7301
109,7302,SULAWESI SELATAN II,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/7302
110,7303,SULAWESI SELATAN III,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/7303
111,7401,SULAWESI TENGGARA,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/7401
112,7501,GORONTALO,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/7501
113,7601,SULAWESI BARAT,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/7601
114,8101,MALUKU,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/8101
115,8201,MALUKU UTARA,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/8201
116,9101,PAPUA,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/9101
117,9201,PAPUA BARAT,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/9201
118,9301,PAPUA SELATAN,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/9301
119,9401,PAPUA TENGAH,dpr-ri,https://caleg.zakiego.com/api/dpr-ri/dapil/9401
